epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.216,2.63694,3.26086,1.79494,0.02585,0.54961,0.22207,0.06827,2.48123,3.05892,1.49109,0.0002,0.0002,0.0002
2,449.303,2.4609,1.97771,1.5027,0.02711,0.57638,0.24383,0.06772,2.35842,2.83205,1.50479,0.00041244,0.00041244,0.00041244
3,650.691,2.36066,1.72841,1.54628,0.02593,0.55118,0.2551,0.0798,2.2157,2.82132,1.56002,0.00061696,0.00061696,0.00061696
4,798.235,2.36161,1.69099,1.50594,0.82007,0.17226,0.33493,0.119,2.21698,2.47152,1.51273,0.00081356,0.00081356,0.00081356
5,949.95,2.27274,1.60971,1.44542,0.8175,0.11339,0.27901,0.08645,2.32528,2.57747,1.61812,0.00100224,0.00100224,0.00100224
6,1097.75,2.34177,1.55553,1.56431,0.78713,0.28534,0.41548,0.1269,2.34389,2.23594,1.6546,0.001183,0.001183,0.001183
7,1275.04,2.3367,1.55569,1.5013,0.61194,0.33277,0.37754,0.10783,2.43551,2.16341,1.70876,0.00135584,0.00135584,0.00135584
8,1502.07,2.33167,1.54501,1.48929,0.5332,0.35118,0.32252,0.0941,2.45666,2.00441,1.75577,0.00152076,0.00152076,0.00152076
9,1724.14,2.24677,1.47185,1.50384,0.56246,0.42677,0.42417,0.13207,2.43082,1.7251,1.75139,0.00167776,0.00167776,0.00167776
10,2058.86,2.24844,1.57959,1.48913,0.64016,0.44265,0.42971,0.12644,2.42742,1.6827,1.67492,0.001676,0.001676,0.001676
11,2210.96,2.35611,1.50536,1.52148,0.62507,0.45197,0.4738,0.1609,2.35722,1.60577,1.58074,0.00164,0.00164,0.00164
12,2360.44,2.33846,1.44095,1.50432,0.66979,0.49511,0.51141,0.17632,2.32291,1.47864,1.6044,0.001604,0.001604,0.001604
13,2494.95,2.21576,1.3947,1.4815,0.70991,0.47087,0.52172,0.17463,2.32897,1.52848,1.62551,0.001568,0.001568,0.001568
14,2624.15,2.27902,1.4011,1.48421,0.74865,0.45968,0.51305,0.16825,2.36721,1.55882,1.64066,0.001532,0.001532,0.001532
15,2764,2.26577,1.38759,1.45607,0.71844,0.45408,0.48035,0.15171,2.37375,1.80488,1.66229,0.001496,0.001496,0.001496
16,2904.73,2.20777,1.38584,1.47959,0.69952,0.48504,0.51626,0.1616,2.34368,1.54102,1.66471,0.00146,0.00146,0.00146
17,3042.58,2.20538,1.32738,1.46025,0.7276,0.52126,0.54396,0.18237,2.32829,1.3869,1.64446,0.001424,0.001424,0.001424
18,3213.94,2.22702,1.32625,1.52657,0.71364,0.50551,0.52952,0.1696,2.41508,1.41416,1.71408,0.001388,0.001388,0.001388
19,3412.74,2.28531,1.35002,1.47743,0.79226,0.52126,0.55514,0.1828,2.36327,1.36373,1.64872,0.001352,0.001352,0.001352
20,3592.15,2.19764,1.31396,1.43038,0.72552,0.52865,0.55936,0.17325,2.36474,1.42887,1.69023,0.001316,0.001316,0.001316
21,3767.78,2.23074,1.31274,1.51004,0.74183,0.52126,0.55392,0.17982,2.36981,1.40342,1.69054,0.00128,0.00128,0.00128
22,3959.69,2.20761,1.28712,1.44561,0.66258,0.51969,0.52099,0.16513,2.41395,1.43275,1.68838,0.001244,0.001244,0.001244
23,4094.48,2.20029,1.23914,1.4579,0.75079,0.51496,0.53912,0.16955,2.37105,1.48055,1.70201,0.001208,0.001208,0.001208
